,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
6114,364A,TAMPINES ST 34,5,1995,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
6122,365,TAMPINES ST 34,10,1995,Y,N,N,N,N,N,TAP,81,0,0,0,63,18,0,0,0,0,0,0,0
6137,366,TAMPINES ST 34,10,1995,Y,N,N,N,N,N,TAP,99,0,0,0,54,45,0,0,0,0,0,0,0
6142,366A,TAMPINES ST 34,5,1995,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
6147,367,TAMPINES ST 34,10,1995,Y,Y,N,N,N,N,TAP,144,0,0,0,108,36,0,0,0,0,0,0,0
6150,367A,TAMPINES ST 34,10,1995,Y,N,N,N,N,N,TAP,81,0,0,0,54,27,0,0,0,0,0,0,0
6153,368,TAMPINES ST 34,10,1995,Y,N,N,N,N,N,TAP,123,0,0,0,69,54,0,0,0,0,0,0,0
6156,369,TAMPINES ST 34,10,1995,Y,Y,N,N,N,N,TAP,96,0,0,0,78,18,0,0,0,0,0,0,0
6186,370,TAMPINES ST 34,10,1995,Y,N,N,N,N,N,TAP,93,0,0,0,75,18,0,0,0,0,0,0,0
6193,371,TAMPINES ST 34,10,1993,Y,N,N,N,N,N,TAP,63,0,0,0,36,27,0,0,0,0,0,0,0
6200,372,TAMPINES ST 34,10,1993,Y,N,N,Y,N,N,TAP,54,0,0,0,27,27,0,0,0,0,0,0,0
6206,373,TAMPINES ST 34,10,1993,Y,N,N,N,N,N,TAP,56,0,0,0,29,27,0,0,0,0,0,0,0
6213,374,TAMPINES ST 34,10,1993,Y,Y,N,N,N,N,TAP,54,0,0,0,27,27,0,0,0,0,0,0,0
6214,374A,TAMPINES ST 34,4,1993,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
